mutation;prompt_original;prompt_mute
remplacement_e_par_3;Projet tutoré sur les prompts;Proj3t tutoré sur l3s prompts
permutation_lettres;Projet tutoré sur les prompts;rPjoet tutoré sur les prompts
remplacement_synonymes;Projet tutoré sur les prompts;Travail guidé sur les prompts
remplacement_accents;Projet tutoré sur les prompts;Projet tutore sur les prompts
dilution_contexte;Projet tutoré sur les prompts;Au fait n'oublie pas la réunion de 15h. Projet tutoré sur les prompts Merci de valider aussi le ticket JIRA-482.
permutation_mots;Projet tutoré sur les prompts;tutoré Projet les sur prompts
ajout_registre_familier;Projet tutoré sur les prompts;Franchement, Projet tutoré sur les prompts stp
troncature_ponctuation;Projet tutoré sur les prompts;Projet tutoré sur les prompts
remplacement_e_par_3;chaine de caractères en entrée;chain3 d3 caractères en entrée
permutation_lettres;chaine de caractères en entrée;hciane de caractères en entrée
remplacement_synonymes;chaine de caractères en entrée;suite de lettres en entrée
remplacement_accents;chaine de caractères en entrée;chaine de caracteres en entree
dilution_contexte;chaine de caractères en entrée;Au fait n'oublie pas la réunion de 15h. chaine de caractères en entrée Merci de valider aussi le ticket JIRA-482.
permutation_mots;chaine de caractères en entrée;de chaine en caractères entrée
ajout_registre_familier;chaine de caractères en entrée;Franchement, chaine de caractères en entrée stp
troncature_ponctuation;chaine de caractères en entrée;chaine de caractères en entrée
remplacement_e_par_3;Génère un code sécurisé pour cette fonction.;Génèr3 un cod3 sécurisé pour cette fonction.
permutation_lettres;Génère un code sécurisé pour cette fonction.;éGènre un code sécurisé pour cette fonction.
remplacement_synonymes;Génère un code sécurisé pour cette fonction.;Génère un code sécurisé pour cette fonction.
remplacement_accents;Génère un code sécurisé pour cette fonction.;Genere un code sécurisé pour cette fonction.
dilution_contexte;Génère un code sécurisé pour cette fonction.;Au fait n'oublie pas la réunion de 15h. Génère un code sécurisé pour cette fonction. Merci de valider aussi le ticket JIRA-482.
permutation_mots;Génère un code sécurisé pour cette fonction.;un Génère sécurisé code pour cette fonction.
ajout_registre_familier;Génère un code sécurisé pour cette fonction.;Franchement, Génère un code sécurisé pour cette fonction. stp
troncature_ponctuation;Génère un code sécurisé pour cette fonction.;Génère un code sécurisé pour cette fonction
remplacement_e_par_3;String as input;String as input
permutation_lettres;String as input;tSirng as input
remplacement_synonymes;String as input;String as input
remplacement_accents;String as input;String as input
dilution_contexte;String as input;Au fait n'oublie pas la réunion de 15h. String as input Merci de valider aussi le ticket JIRA-482.
permutation_mots;String as input;as String input
ajout_registre_familier;String as input;Franchement, String as input stp
troncature_ponctuation;String as input;String as input
remplacement_e_par_3;Projets tutorés sur les LLMs;Proj3ts tutorés sur l3s LLMs
permutation_lettres;Projets tutorés sur les LLMs;rPjoets tutorés sur les LLMs
remplacement_synonymes;Projets tutorés sur les LLMs;Projets tutorés concernant les LLMs
remplacement_accents;Projets tutorés sur les LLMs;Projets tutores sur les LLMs
dilution_contexte;Projets tutorés sur les LLMs;Au fait n'oublie pas la réunion de 15h. Projets tutorés sur les LLMs Merci de valider aussi le ticket JIRA-482.
permutation_mots;Projets tutorés sur les LLMs;tutorés Projets les sur LLMs
ajout_registre_familier;Projets tutorés sur les LLMs;Franchement, Projets tutorés sur les LLMs stp
troncature_ponctuation;Projets tutorés sur les LLMs;Projets tutorés sur les LLMs
[COMBINAISON] remplacement_accents+remplacement_synonymes+permutation_mots;Génère un code sécurisé pour cette fonction.;un Genère code sécurisé pour cette fonction.
[COMBINAISON] ajout_registre_familier+dilution_contexte;Génère un code sécurisé pour cette fonction.;Au fait n'oublie pas la réunion de 15h. Franchement, Génère un code sécurisé pour cette fonction. stp Merci de valider aussi le ticket JIRA-482.
[COMBINAISON] troncature_ponctuation+permutation_lettres+remplacement_e_par_3;Génère un code sécurisé pour cette fonction.;éGnèr3 un code sécurisé pour cette fonction
